frame,n_raw,n_objects,foam_pct
0,555,555,53.9
1,551,551,53.8
2,537,537,53.6
3,521,521,53.6
4,495,495,53.4
5,478,478,53.3
6,483,483,53.1
7,474,474,53.1
8,466,466,52.9
9,468,468,52.8
10,448,448,52.7
11,455,455,52.6
12,445,445,52.5
13,444,444,52.4
14,447,447,52.3
15,438,438,52.2
16,432,432,52.1
17,427,427,52.0
18,421,421,51.9
19,420,420,51.9
20,404,404,51.7
21,401,401,51.6
22,388,388,51.6
23,388,388,51.5
24,383,383,51.4
25,376,376,51.4
26,370,370,51.3
27,360,360,51.2
28,362,362,51.2
29,354,354,51.1
30,355,355,51.0
31,351,351,51.0
32,349,349,50.9
33,343,343,50.9
34,340,340,50.8
35,339,339,50.7
36,335,335,50.6
37,336,336,50.6
38,338,338,50.5
39,337,337,50.4
40,334,334,50.3
41,326,326,50.3
42,323,323,50.2
43,322,322,50.2
44,321,321,50.1
45,318,318,50.1
46,312,312,50.0
47,315,315,50.0
48,310,310,49.9
49,311,311,49.8
50,311,311,49.8
51,314,314,49.7
52,311,311,49.6
53,304,304,49.5
54,301,301,49.5
55,302,302,49.4
56,301,301,49.4
57,297,297,49.3
58,295,295,49.2
59,292,292,49.2
60,290,290,49.1
61,293,293,49.0
62,288,288,49.0
63,280,280,49.0
64,272,272,48.9
65,270,270,48.8
66,268,268,48.8
67,265,265,48.7
68,259,259,48.6
69,262,262,48.6
70,252,252,48.5
71,257,257,48.5
72,252,252,48.4
73,251,251,48.4
74,250,250,48.3
75,250,250,48.3
76,247,247,48.2
77,247,247,48.2
78,245,245,48.1
79,242,242,48.0
80,242,242,48.0
81,240,240,47.9
82,241,241,47.9
83,237,237,47.8
84,237,237,47.8
85,237,237,47.7
86,234,234,47.6
87,234,234,47.6
88,234,234,47.5
89,231,231,47.4
90,230,230,47.4
91,231,231,47.3
92,229,229,47.3
93,226,226,47.2
94,226,226,47.2
95,222,222,47.2
96,219,219,47.1
97,222,222,47.0
98,221,221,47.0
