frame,sec,f1@0.5,n_gt,n_pred,precision,recall,f1@0.75,f1@0.9
0,12.2,0.9478,124,125,0.944,0.9516,0.8514,0.5944
1,12.3,0.9667,122,118,0.9831,0.9508,0.8417,0.5917
24,12.5,0.6642,99,175,0.52,0.9192,0.562,0.3066
25,12.8,0.6716,98,173,0.526,0.9286,0.5683,0.3173
49,13.1,0.5944,84,165,0.4485,0.881,0.5301,0.2811
50,13.4,0.6348,80,150,0.4867,0.9125,0.5739,0.2783
73,13.6,0.5923,70,163,0.4233,0.9857,0.5064,0.309
74,13.6,0.5847,70,166,0.4157,0.9857,0.5,0.2881
97,13.6,0.8531,63,80,0.7625,0.9683,0.7692,0.4476
98,13.5,0.515,63,170,0.3529,0.9524,0.4635,0.2747
120,13.5,0.4096,52,197,0.2589,0.9808,0.3775,0.2651
121,13.6,0.3571,52,228,0.2193,0.9615,0.3286,0.2286
148,13.7,0.232,46,316,0.1329,0.913,0.221,0.1823
149,13.7,0.2,43,377,0.1114,0.9767,0.1952,0.1571
