frame,foam_pct,n_raw,f1@0.5,n_gt,n_pred,precision,recall,f1@0.75,f1@0.9
0,27.7,125,0.9752,124,118,1.0,0.9516,0.876,0.6116
1,27.7,118,0.9667,122,118,0.9831,0.9508,0.8417,0.5917
24,26.7,175,0.9479,99,93,0.9785,0.9192,0.8021,0.4375
25,26.6,173,0.9579,98,92,0.9891,0.9286,0.8105,0.4526
49,25.6,165,0.925,84,76,0.9737,0.881,0.825,0.4375
50,25.5,150,0.9359,80,76,0.9605,0.9125,0.8462,0.4103
73,24.4,163,0.9928,70,69,1.0,0.9857,0.8489,0.518
74,24.5,166,0.9928,70,69,1.0,0.9857,0.8489,0.4892
97,23.2,80,0.9839,63,61,1.0,0.9683,0.8871,0.5161
98,23.2,170,0.9677,63,61,0.9836,0.9524,0.871,0.5161
120,21.6,197,0.9903,52,51,1.0,0.9808,0.9126,0.6408
121,21.5,228,0.9804,52,50,1.0,0.9615,0.902,0.6275
148,19.9,316,0.9545,46,42,1.0,0.913,0.9091,0.75
149,19.9,377,0.9882,43,42,1.0,0.9767,0.9647,0.7765
