frame,n_objects
0,62
1,65
2,60
3,61
4,62
5,63
6,62
7,62
8,64
9,69
10,65
11,66
12,64
13,65
14,62
15,60
16,66
17,68
18,66
19,66
20,65
21,64
22,64
23,63
24,65
25,63
26,61
27,58
28,61
29,61
30,61
31,61
32,62
33,62
34,61
35,62
36,62
37,63
38,63
39,62
40,61
41,63
42,63
43,59
44,62
45,57
46,58
47,57
48,58
49,58
50,58
51,59
52,59
53,61
54,59
55,59
56,57
57,58
58,53
59,53
60,54
61,54
62,53
63,54
64,54
65,52
66,52
67,50
68,50
69,50
70,50
71,51
72,50
73,50
74,50
75,50
76,50
77,49
78,50
79,51
80,48
81,52
82,49
83,51
84,50
85,51
86,50
87,49
88,51
89,48
90,48
91,47
92,47
93,47
94,47
95,46
96,46
97,45
98,46
99,43
100,43
101,41
102,41
103,39
104,40
105,40
106,39
107,38
108,41
109,39
110,39
111,39
112,40
113,38
114,39
115,37
116,39
117,37
118,38
119,37
120,37
121,37
122,38
123,36
124,36
125,37
126,37
127,38
128,37
129,38
130,37
131,38
132,38
133,39
134,38
135,37
136,36
137,35
138,35
139,37
140,36
141,37
142,36
143,37
144,36
145,37
146,35
147,36
148,36
149,36
150,36
151,35
152,39
153,37
154,38
155,37
156,36
157,36
158,34
159,35
160,35
161,34
162,34
163,33
164,34
165,33
166,32
167,32
168,32
169,31
170,33
171,30
172,31
173,30
174,32
175,30
176,31
177,30
178,27
179,28
180,28
181,30
182,28
183,30
184,30
185,28
186,27
187,28
188,29
189,27
190,29
191,27
192,27
193,26
194,25
195,25
196,26
197,23
198,24
199,23
200,22
201,22
202,22
203,24
204,21
205,21
206,21
207,19
208,19
209,19
210,19
211,19
212,20
213,18
214,19
215,20
216,18
217,18
218,18
219,19
220,18
221,17
222,19
223,17
224,16
225,20
226,18
227,17
228,17
229,17
230,17
231,16
232,17
233,17
234,16
235,17
236,17
237,17
238,18
239,17
240,16
241,19
242,18
243,17
244,18
245,18
246,18
247,18
248,18
249,17
250,16
251,17
252,17
253,16
254,17
255,17
256,16
257,15
258,18
259,16
260,17
261,16
262,16
263,16
264,17
265,17
266,17
267,18
268,16
269,17
270,17
271,17
272,17
273,17
274,16
275,18
276,15
277,17
278,16
279,16
280,15
281,16
282,16
283,16
284,16
285,16
286,16
287,16
288,15
289,16
290,16
291,16
292,16
293,16
294,16
295,16
296,16
297,15
298,15
299,14
300,15
301,15
302,15
303,14
304,14
305,15
306,15
307,16
308,15
309,15
310,16
311,14
312,13
313,13
314,14
315,12
316,12
317,13
318,14
319,14
320,13
321,14
322,13
323,12
324,12
325,14
326,13
327,13
328,12
329,13
330,13
331,13
332,14
333,12
334,12
335,13
336,15
337,13
338,14
339,15
340,13
341,12
342,12
343,12
344,11
345,11
346,11
347,10
348,9
349,8
350,8
351,8
352,8
353,8
354,8
355,8
356,8
357,8
358,7
359,7
360,7
361,7
362,7
363,7
364,7
365,7
366,7
367,7
368,7
369,7
370,7
371,7
372,7
373,7
374,7
375,7
376,7
377,7
378,7
379,7
380,7
381,7
382,7
383,7
384,7
385,8
386,7
387,7
388,7
389,7
390,9
391,10
392,7
393,7
394,8
395,8
396,7
397,7
398,6
399,7
400,5
401,5
402,5
403,5
404,6
405,6
406,4
407,4
408,4
409,4
410,4
411,4
412,4
413,4
414,4
415,4
416,4
417,4
418,4
419,4
420,4
421,3
422,3
423,3
424,3
425,3
426,3
427,3
428,3
429,3
430,3
431,3
432,3
433,3
434,3
435,3
436,3
437,3
438,2
439,2
440,2
441,2
442,2
443,2
444,2
445,2
446,2
447,2
448,2
449,2
450,2
451,2
452,2
453,2
454,2
455,2
456,2
457,2
458,2
459,2
460,2
461,2
462,2
463,2
464,2
465,2
466,2
467,2
468,2
469,2
470,2
471,2
472,2
473,2
474,2
475,2
476,2
477,2
478,2
479,2
480,2
481,2
482,2
483,2
484,2
485,2
486,2
487,2
488,2
489,2
490,2
491,2
492,2
493,2
494,2
495,2
496,2
497,2
498,2
499,2
500,2
501,2
502,2
