frame,run,n_objects,foam_pct
0,run0,118,
1,run0,118,
2,run0,117,
3,run0,115,
4,run0,111,
5,run0,112,
6,run0,112,
7,run0,112,
8,run0,108,
9,run0,106,
10,run0,105,
11,run0,104,
12,run0,104,
13,run0,103,
14,run0,102,
15,run0,98,
16,run0,98,
17,run0,98,
18,run0,97,
19,run0,96,
20,run0,96,
21,run0,96,
22,run0,94,
23,run0,94,
24,run0,93,
25,run0,92,
26,run0,92,
27,run0,92,
28,run0,91,
29,run0,89,
30,run0,87,
31,run0,87,
32,run0,88,
33,run0,87,
34,run0,87,
35,run0,86,
36,run0,85,
37,run0,84,
38,run0,84,
39,run0,83,
40,run0,82,
41,run0,80,
42,run0,78,
43,run0,78,
44,run0,78,
45,run0,77,
46,run0,78,
47,run0,77,
48,run0,76,
49,run0,76,
50,run0,76,
51,run0,75,
52,run0,74,
53,run0,74,
54,run0,74,25.4
55,run0,74,25.4
56,run0,73,25.3
57,run0,73,25.3
58,run0,73,25.3
59,run0,72,25.2
60,run0,72,25.1
61,run0,72,25.1
62,run0,71,25.1
63,run0,70,25.0
64,run0,70,24.9
65,run0,70,24.9
66,run0,70,24.8
67,run0,70,24.8
68,run0,70,24.7
69,run0,70,24.6
70,run0,69,24.6
71,run0,69,24.6
72,run0,69,24.5
73,run0,69,24.4
74,run0,69,24.5
75,run0,69,24.4
76,run0,69,24.3
77,run0,68,24.3
78,run0,68,24.2
79,run0,68,24.2
80,run0,68,24.1
81,run0,68,24.0
82,run0,68,24.0
83,run0,68,24.0
84,run0,68,23.9
85,run0,65,23.9
86,run0,65,23.8
87,run0,65,23.8
88,run0,64,23.7
89,run0,63,23.6
90,run0,63,23.6
91,run0,63,23.6
92,run0,63,23.5
93,run0,63,23.5
94,run0,63,23.4
95,run0,62,23.4
96,run0,61,23.3
97,run0,61,23.2
98,run0,61,23.2
99,run1,60,22.9
100,run1,60,22.8
101,run1,59,22.7
102,run1,58,22.7
103,run1,55,22.6
104,run1,55,22.6
105,run1,55,22.5
106,run1,54,22.4
107,run1,54,22.4
108,run1,53,22.4
109,run1,53,22.3
110,run1,53,22.2
111,run1,53,22.2
112,run1,52,22.1
113,run1,52,22.0
114,run1,51,22.0
115,run1,51,21.9
116,run1,51,21.8
117,run1,51,21.8
118,run1,51,21.7
119,run1,51,21.6
120,run1,51,21.6
121,run1,50,21.5
122,run1,50,21.4
123,run1,50,21.4
124,run1,49,21.3
125,run1,49,21.3
126,run1,49,21.2
127,run1,49,21.1
128,run1,47,21.1
129,run1,47,21.0
130,run1,47,21.0
131,run1,46,20.9
132,run1,46,20.9
133,run1,46,20.8
134,run1,46,20.7
135,run1,46,20.7
136,run1,46,20.6
137,run1,46,20.6
138,run1,46,20.5
139,run1,45,20.5
140,run1,45,20.4
141,run1,45,20.3
142,run1,45,20.3
143,run1,45,20.2
144,run1,44,20.2
145,run1,43,20.1
146,run1,42,20.1
147,run1,42,20.0
148,run1,42,19.9
149,run1,42,19.9
150,run1,42,19.9
151,run1,42,19.8
152,run1,41,19.7
153,run1,41,19.7
154,run1,41,19.6
155,run1,40,19.6
156,run1,40,19.6
157,run1,39,19.5
158,run1,38,19.5
159,run1,38,19.4
160,run1,38,19.3
161,run1,36,19.4
162,run1,36,19.3
163,run1,36,19.3
164,run1,35,19.2
165,run1,34,19.2
166,run1,34,19.2
167,run1,33,19.2
168,run1,32,19.1
169,run1,32,19.1
170,run1,31,19.0
171,run1,31,19.0
172,run1,31,19.1
173,run1,31,19.0
174,run1,31,19.0
175,run1,31,19.0
176,run1,30,19.0
177,run1,29,18.9
178,run1,28,19.0
179,run1,28,19.0
180,run1,28,19.0
181,run1,28,18.9
182,run1,28,18.9
183,run1,28,18.9
184,run1,28,18.9
185,run1,28,18.9
186,run1,28,18.9
187,run1,28,18.9
188,run1,28,18.9
189,run1,28,18.9
190,run1,28,19.0
191,run1,28,18.9
192,run1,28,18.9
193,run1,28,19.0
194,run1,28,18.9
195,run1,28,19.0
196,run1,28,19.0
197,run1,28,19.0
