foam,horizon_seconds,period,t_lo,t_hi,K,ci_lo,ci_hi,n,n_bubbles,underpowered
A,30,all,0.0,5999.302,0.3667033370003672,0.3334000133360005,0.39994667377682985,10964,156,False
A,30,initial,0.0,1999.7673333333332,0.3000700163371448,0.28312476977944356,0.3333333333333333,5338,105,False
A,30,middle,1999.7673333333332,3999.5346666666665,0.42494334088788294,0.3835634714161831,0.4554416962698087,3360,114,False
A,30,final,3999.5346666666665,5999.302001,0.44973765316051173,0.36654265346679027,0.5499731901809805,2266,43,False
A,150,all,0.0,5879.288,0.36433757370829317,0.33336630883347457,0.39331792839179025,10300,156,False
A,150,initial,0.0,1959.7626666666665,0.31329364947106697,0.2866303601543804,0.3388038166920269,5065,105,False
A,150,middle,1959.7626666666665,3919.525333333333,0.4133140453629176,0.37330216279722145,0.4555840217342622,3012,113,False
A,150,final,3919.525333333333,5879.288001,0.47104830467048847,0.373166485940004,0.6055544898644689,2223,43,False
C,30,all,0.0,2910.552,0.177632717024435,0.16663889351774708,0.18880078185735613,29032,466,False
C,30,initial,0.0,970.1840000000001,0.2,0.18323530246635267,0.2332633543270351,12697,466,False
C,30,middle,970.1840000000001,1940.3680000000002,0.19693687415733818,0.17772446043964582,0.20000341678055927,8988,313,False
C,30,final,1940.3680000000002,2910.552001,0.1333422228148541,0.12502458822319776,0.15555555555555556,7347,245,False
C,150,all,0.0,2790.553,0.17998800079994667,0.16992992427911033,0.19330388672383542,26868,450,False
C,150,initial,0.0,930.1843333333333,0.20996430635015784,0.17994358768545546,0.24659268886000874,11354,450,False
C,150,middle,930.1843333333333,1860.3686666666665,0.19996667222129663,0.18662753715852728,0.21000280003733376,8492,305,False
C,150,final,1860.3686666666665,2790.5530009999998,0.1466402714178114,0.1333137806455054,0.1599722981305467,7022,243,False
F,30,all,0.0,2220.099,0.5995004163197336,0.40005303567896844,0.8672384091298478,5972,56,False
F,30,initial,0.0,740.033,-0.29995000833194474,-0.6082714556172861,-0.033326667999733384,3124,56,False
F,30,middle,740.033,1480.066,1.5671368077089802,1.1337906686697845,1.9160279906697772,1984,34,False
F,30,final,1480.066,2220.099001,1.633061156473915,1.1337868480725601,2.4329278453591163,864,23,False
F,150,all,0.0,2100.093,0.4899969125242688,0.2366753448651953,0.8044712601531168,5221,49,False
F,150,initial,0.0,700.031,-0.6199504039676825,-1.001831981173007,-0.24553754946859452,2681,49,False
F,150,middle,700.031,1400.062,1.5802423038199205,1.135936020157458,2.0233887637437618,1790,34,False
F,150,final,1400.062,2100.0930009999997,1.6421895176743002,1.0000266673777976,2.4067469189483113,750,22,False
