config,K,ci_lo,ci_hi,n,n_bubbles,frac_kept,usable,foam
full set,0.3667033370003672,0.3334000133360015,0.39992018260237416,10964,156,1.0,True,A
"interior only (raft edge, rim < 1.5 r)",0.43331888937035634,0.399779622481384,0.48320568661554664,6637,112,0.6053447646844218,True,A
"interior only (raft edge, rim < 2 r)",0.43326112314614074,0.3834095360259486,0.4778892852776769,5975,104,0.5449653411163808,True,A
"interior only (raft edge, rim < 3 r)",0.40013337779259905,0.3666788892963096,0.4666515005055425,4254,79,0.3879970813571689,True,A
perimeter only (raft edge),0.3164082666700391,0.28325779792055417,0.35543707653004564,4989,76,0.4550346588836191,True,A
area >= 200 px,0.36680116042548966,0.34444014104059084,0.40004017070596454,10870,155,0.991426486683692,True,A
area >= median,0.4165000666400146,0.36620566833638246,0.4666666666666667,5484,68,0.5001824151769427,True,A
interior + area >= 200 px,0.43341279246569636,0.39990652185599873,0.48333333333333334,5896,102,0.5377599416271434,True,A
interior + area >= median,0.4998000799680151,0.43323224580931025,0.5666763475449179,2693,37,0.24562203575337468,True,A
full set,0.177632717024435,0.16663889351774705,0.18880109642047152,29032,466,1.0,True,C
"interior only (raft edge, rim < 1.5 r)",0.19998666755549663,0.19505255581478365,0.21660890429218685,22548,403,0.7766602369798843,True,C
"interior only (raft edge, rim < 2 r)",0.19998333477764701,0.1888314527831295,0.2165369249649863,21930,386,0.7553733810967208,True,C
"interior only (raft edge, rim < 3 r)",0.1999067102019057,0.18324743612992114,0.20001333422228118,19541,362,0.6730848718655277,True,C
perimeter only (raft edge),0.11665305717572945,0.09998333611064819,0.13333777792593077,7102,136,0.24462661890327914,True,C
area >= 200 px,0.1999400179946015,0.18333333333333332,0.20001333422228193,27461,448,0.9458872967759714,True,C
area >= median,0.2500833611203734,0.23334111137037883,0.26664000266639865,14521,179,0.5001722237531,True,C
interior + area >= 200 px,0.21666666666666667,0.20000666688889615,0.23327890158962905,20920,372,0.7205841829705153,True,C
interior + area >= median,0.2667200106687992,0.26651564113669074,0.2915306190444458,11058,152,0.38089005235602097,True,C
full set,0.5995004163197336,0.4061606658249798,0.8659839872187555,5972,56,1.0,True,F
"interior only (raft edge, rim < 1.5 r)",0.6332489001466467,0.1667267582835744,1.0331267079917321,3871,39,0.648191560616209,True,F
"interior only (raft edge, rim < 2 r)",0.6163688168500916,0.14997650405341897,1.0329545833194507,3784,36,0.6336235766912257,True,F
"interior only (raft edge, rim < 3 r)",0.16673614010471166,-0.37799190890712225,0.6328059950041632,2695,31,0.45127260549229736,True,F
perimeter only (raft edge),0.566553355995466,0.39992001599680066,0.8777703754065341,2188,30,0.3663764233087743,True,F
area >= 200 px,0.5995004163197336,0.38658934879690326,0.8440038620746413,5972,56,1.0,True,F
area >= median,1.0331611398100318,0.5557871395500917,1.5672948907445148,2988,31,0.5003348961821835,True,F
interior + area >= 200 px,0.6163688168500916,0.16673058010203762,0.9992023036024581,3784,36,0.6336235766912257,True,F
interior + area >= median,1.4830861523079546,0.5718782263742638,2.198329277465842,1814,23,0.3037508372404555,True,F
