arm,horizon_seconds,horizon_frames,frame_interval_s,n,n_bubbles,K,ci_lo,ci_hi,K_ls,K_theilsen,n0_free,median_abs_dadt,K_normalised
native,30,3,10.0,5972,56,0.5995004163197336,0.40005303567896844,0.8672384091298478,0.20903389182330723,0.911569763957726,3.296490941979662,4.232839512637727,0.1416307928826128
native,150,15,10.0,5221,49,0.4899969125242688,0.2366753448651953,0.8044712601531168,0.0934895596033414,0.8648682343249359,3.017046621062074,2.9398432083622223,0.1666745053377335
native,600,60,10.0,3107,34,0.37635533454858494,0.10503419623681076,0.8032919260914584,-0.2665874816512577,0.4666419304075297,-0.23820763101111542,2.4415405204064458,0.15414666740240407
sub3_p0,30,1,30.0,1428,56,0.3527248228629599,0.09161737891354427,0.566515595841109,-0.06748016340940703,0.7920418114049069,2.217123967807623,4.332611231461415,0.08141160238463947
sub3_p0,150,5,30.0,1192,37,0.3026807917702826,-0.03670785624646227,0.6026773009306943,-0.05743277233302712,0.8640333880242366,2.3934464849197234,2.9666265973053045,0.1020286112331153
sub3_p0,600,20,30.0,688,25,-0.26637423830578205,-0.717750240234489,0.5628510231495294,-0.6078823507833635,0.25459814215708043,-10.13935990766296,2.795693526174273,-0.09528019999756486
sub3_p1,30,1,30.0,1270,45,0.21501029553035372,-0.2066322279620063,0.5498760514970142,-0.05042121508720005,0.8007799579404027,2.214149761148398,4.333550281707856,0.04961527651771424
sub3_p1,150,5,30.0,1082,42,0.07166093379196331,-0.37996342363513236,0.5399533390349509,-0.22664517706461948,0.7534367196916534,1.3572419474702446,3.3366001466712536,0.02147723150568568
sub3_p1,600,20,30.0,593,23,0.09020630247633982,-1.0227270935098614,0.3789614722503212,-0.41594331893089626,0.46557753706749416,-0.7988257514745758,2.7947810754824203,0.03227669718665491
sub3_p2,30,1,30.0,1327,35,0.5831972539740726,0.35559983557639324,0.8720738576956757,0.2725550321138723,0.9825124913825041,3.3578145032700752,3.965741327023656,0.14705882352941316
sub3_p2,150,5,30.0,1175,35,0.4588049186433758,0.09778139709670293,0.7801581195136673,0.18695714925273138,1.056686721567233,3.192283530196155,2.786462326096086,0.16465498720241975
sub3_p2,600,20,30.0,705,23,0.3783037886874743,-0.17853837523832874,0.7792968419603631,-0.26293531418574456,0.6616066464936499,0.5832417957564839,2.3899004208158,0.15829269930767204
native_p15,30,3,10.0,5917,50,0.5997401365866935,0.38905196955090504,0.8665377694849752,0.2259666968680334,0.918071703522076,3.328309719285753,4.232627895350776,0.14169451022270657
native_p15,150,15,10.0,5221,49,0.4899969125242688,0.2366753448651953,0.8044712601531168,0.09348955960334138,0.8648682343249359,3.0170466210620797,2.9398432083622223,0.1666745053377335
native_p15,600,60,10.0,3107,34,0.37635533454858494,0.10503419623681076,0.8032919260914584,-0.2665874816512577,0.4666419304075297,-0.23820763101110742,2.4415405204064458,0.15414666740240407
