detector,min_area_px2,K,ci_lo,ci_hi,n
GT,0,0.366410179540988,0.3323252799840483,0.4167361111111111,425
GT,200,0.399720195862896,0.33340001333600056,0.4333766710004333,402
GT,400,0.4166666666666667,0.366410179540988,0.44988012292175633,376
GT,800,0.4222222222222222,0.35535926907025306,0.466340228506712,344
GT,1600,0.4166666666666667,0.34947891065922687,0.466340228506712,285
GT,3200,0.40837334133493364,0.3332764078640453,0.4917964845051647,189
CP,0,0.3334000133360005,0.30004463238882395,0.3998667110963012,416
CP,200,0.3443534270515096,0.3000600120024004,0.3999555237096518,411
CP,400,0.3666666666666667,0.3137680032581731,0.41675001667000067,394
CP,800,0.383371118668178,0.31673001266920053,0.45810130234228036,355
CP,1600,0.37777777777777777,0.29709625183333616,0.4666355908080428,302
CP,3200,0.41675001667000067,0.29998002266231316,0.5748175039474767,204
