foam,min_area_px,pct_of_area_dist,frac_samples_kept,frac_bubbles_kept,K,ci_lo,ci_hi,n,n_bubbles,underpowered
A,0,0.0,1.0,1.0,0.3667033370003672,0.3334000133360005,0.39994667377682985,10964,156,False
A,50,0.0,1.0,1.0,0.3667033370003672,0.3334000133360005,0.39994667377682985,10964,156,False
A,100,0.00018241517694272163,0.9998175848230573,1.0,0.3667033370003672,0.33340001333600144,0.39994667377682985,10962,156,False
A,200,0.008573513316307917,0.991426486683692,0.9935897435897436,0.36680116042548966,0.3374194909267576,0.4000133337777923,10870,155,False
A,400,0.05363006202116016,0.9463699379788398,0.9423076923076923,0.3887593024547374,0.35553763063203747,0.4166114656587503,10376,147,False
A,800,0.13489602334914264,0.8651039766508574,0.8269230769230769,0.39997333511099326,0.3667033370003671,0.4333481394065,9485,129,False
A,1600,0.27179861364465524,0.7282013863553448,0.6474358974358975,0.4000333362224796,0.3666300036663009,0.4498727236334561,7984,101,False
A,3200,0.5077526450200657,0.4922473549799343,0.4166666666666667,0.4166111185175323,0.3665200586432073,0.46671333800046916,5397,65,False
C,0,0.0,1.0,1.0,0.177632717024435,0.16663889351774708,0.18880078185735613,29032,466,False
C,50,0.00010333425186001654,0.99989666574814,1.0,0.17766525644869358,0.16663889351774708,0.18880133233494686,29029,466,False
C,100,0.006303389363461008,0.993696610636539,1.0,0.1815177850384883,0.16665555629624718,0.1916128579792098,28849,466,False
C,200,0.054112703224028655,0.9458872967759714,0.9613733905579399,0.1999400179946015,0.18333310417939738,0.20001333422228193,27461,448,False
C,400,0.17112152108018738,0.8288784789198126,0.7811158798283262,0.20008003201280475,0.19994668088509707,0.22500384387813008,24064,364,False
C,800,0.39635574538440344,0.6036442546155966,0.5,0.24666666666666667,0.23329445092484588,0.2665336219742465,17525,233,False
C,1600,0.6520735739873244,0.34792642601267565,0.259656652360515,0.2665866906594687,0.24992471021188636,0.27774074567835283,10101,121,False
C,3200,0.8683177183797189,0.13168228162028106,0.1223175965665236,0.24443629683947016,0.2249846270497262,0.2665425022989617,3823,57,False
F,0,0.0,1.0,1.0,0.5995004163197336,0.40005303567896844,0.8672384091298478,5972,56,False
F,50,0.0,1.0,1.0,0.5995004163197336,0.40005303567896844,0.8672384091298478,5972,56,False
F,100,0.0,1.0,1.0,0.5995004163197336,0.40005303567896844,0.8672384091298478,5972,56,False
F,200,0.0,1.0,1.0,0.5995004163197336,0.40005303567896844,0.8672384091298478,5972,56,False
F,400,0.0,1.0,1.0,0.5995004163197336,0.40005303567896844,0.8672384091298478,5972,56,False
F,800,0.005023442732752847,0.9949765572672472,0.9821428571428571,0.5998800239952009,0.4082165200757574,0.8531841141158523,5942,55,False
F,1600,0.10164099129269927,0.8983590087073008,0.875,0.7327959496369317,0.48878787444311306,0.9838204495015735,5365,49,False
F,3200,0.3702277294038848,0.6297722705961152,0.6785714285714286,0.9419806602200731,0.6000945487185219,1.3946417254224523,3761,38,False
