split,horizon,test_group,K_train,mae_vn,mae_persist,delta,ci_lo,ci_hi,beats,n,foam
session,1,exp1_run0,0.4498050844634004,0.6158556468961132,0.781505199949699,-0.16564955305358586,-0.2319774206083698,-0.11235448787168016,True,7221,A
session,1,exp1_run1,0.3332611268484025,0.9728969319075109,1.2578784671318644,-0.28498153522435343,-0.3872111030719047,-0.20086067176218902,True,3743,A
session,5,exp1_run0,0.4600122669937862,0.34369421894386987,0.5767869414387302,-0.23309272249486035,-0.31729630519508734,-0.16103692581970824,True,6761,A
session,5,exp1_run1,0.32995820529399605,0.5918888149906608,0.9721329092067635,-0.3802440942161027,-0.4977643660687061,-0.2824354422057677,True,3539,A
session,20,exp1_run0,0.49079325188442957,0.3167381301437093,0.5106909429470861,-0.19395281280337678,-0.27550974108017673,-0.12049018982821864,True,5192,A
session,20,exp1_run1,0.3199498745196587,0.5366827097823484,0.9330775262410445,-0.396394816458696,-0.506934711418988,-0.2942732651612477,True,2807,A
epoch,1,early,0.14300993090042546,0.660525744918833,0.7288942352602017,-0.06836849034136872,-0.08209968820794317,-0.05591020809934364,True,27966,C
epoch,1,late,0.17778074083950873,0.4689114692085335,0.5023388929323955,-0.03342742372386204,-0.072176337782991,0.010556427048386241,False,1066,C
epoch,5,early,0.13331644658343256,0.39485105004075166,0.4956765798298066,-0.10082552978905496,-0.1194005616198237,-0.08329046635902139,True,25974,C
epoch,5,late,0.18221918539979337,0.2874012030941535,0.3325961353844918,-0.045194932290338274,-0.10951005528222578,0.01823347026743745,False,894,C
epoch,20,early,0.15664682473553349,0.2770053610379065,0.40228372397154866,-0.12527836293364214,-0.14927683813172765,-0.10417332358016135,True,19590,C
epoch,20,late,0.19412363592736945,0.2283256763714136,0.310623282872359,-0.08229760650094542,-0.18928774053667566,0.028308129794572822,False,378,C
epoch,1,early,1.1997600479904076,12.128767210843947,12.056774283651087,0.07199292719285921,-0.03562597392049333,0.19758843568021153,False,5908,F
epoch,1,late,0.6,9.89852596263246,10.23868168983142,-0.3401557271989599,-0.8433381311971431,-0.0070588235294088975,True,194,F
epoch,5,early,1.2402232401832334,5.454809951708037,5.189210290000183,0.26559966170785376,0.07218947813144183,0.5041499428028421,False,5660,F
epoch,5,late,0.5000850145024821,3.466507203323838,4.175509878937491,-0.7090026756136525,-1.8091799358211813,-0.030869445339659407,True,182,F
epoch,20,early,1.1656424588719227,4.265169239169415,3.9131631021450204,0.35200613702439476,0.10482747145903526,0.5983181193946129,False,4804,F
epoch,20,late,0.41199794001029977,2.3151858312560383,2.994583675893589,-0.6793978446375508,-1.6479917600411995,-0.043696751213214036,True,137,F
