foam,period,n,n_bubbles,mean_n_sides,median_n_sides,frac_n_below_6,frac_growing,median_dadt,median_area_px,"quad_x<0,y>0","quad_x<0,y<0","quad_x>0,y>0","quad_x>0,y<0",frac_used_by_estimator,frac_slopes_negative_used
A,all,10964,156,5.165359357898577,5.0,0.6175665815395841,0.38371032469901495,-0.2666311158512207,3146.0,0.12303903684786574,0.4869573148485954,0.1687340386720175,0.030554542137905875,0.8191353520612915,0.1875069591359537
A,initial,5338,105,5.3668040464593485,5.0,0.5636942675159236,0.42600224803297115,-0.13333111118518276,2772.0,0.12307980517047583,0.43143499437991756,0.19276882727613337,0.03578119145747471,0.7958036717871863,0.19962335216572505
A,middle,3360,114,5.124404761904762,5.0,0.6386904761904761,0.3386904761904762,-0.40002666888909433,3249.0,0.0943452380952381,0.5389880952380952,0.1595238095238095,0.024107142857142858,0.8235119047619047,0.14383809179616913
A,final,2266,43,4.7515445719329215,4.0,0.7131509267431597,0.35083848190644307,-0.5663174389942054,4604.5,0.16548984995586938,0.5406001765225066,0.12577228596646073,0.027802294792586054,0.8676081200353045,0.22278738555442523
C,all,29032,466,5.633197850647561,5.0,0.5222513089005235,0.4927321576191788,0.0,1087.0,0.1650248002204464,0.34661752548911545,0.21903416919261504,0.06299944888399008,0.8084871865527694,0.2820381731424676
C,initial,12697,466,5.662597463967867,5.0,0.5204378987162321,0.6001417657714421,0.266648890073995,824.0,0.23131448373631566,0.28077498621721664,0.22840040954556196,0.042687248956446405,0.7937308025517839,0.34520738241714627
C,middle,8988,313,5.681352914997775,5.0,0.5132398753894081,0.42156208277703605,-0.09998000399920064,1247.0,0.10725411659991099,0.39530485091232753,0.22741433021806853,0.07198486871384067,0.818090787716956,0.21909424724602203
C,final,7347,245,5.523478971008575,5.0,0.5364094188103988,0.3941744929903362,-0.10000333344444882,1501.0,0.1211378794065605,0.4008438818565401,0.19259561725874508,0.08711038519123451,0.8222403702191371,0.25326932627048504
F,all,5972,56,4.5525787006028136,5.0,0.7150033489618218,0.5066979236436705,0.11667223785567185,3951.0,0.315304755525787,0.3980241125251172,0.09427327528466176,0.03114534494306765,0.8407568653717348,0.41206930890260907
F,initial,3124,56,4.266325224071703,4.0,0.7832906530089628,0.6142765685019206,1.750228001932907,3357.0,0.45454545454545453,0.3268245838668374,0.06306017925736236,0.01120358514724712,0.8575544174135723,0.5431131019036954
F,middle,1984,34,4.892137096774194,5.0,0.6703629032258065,0.39163306451612906,-1.4664711371817025,4623.0,0.17943548387096775,0.4894153225806452,0.1305443548387097,0.04435483870967742,0.8462701612903226,0.26444312090530075
F,final,864,23,4.80787037037037,5.0,0.5706018518518519,0.3819444444444444,-1.7495917619222146,9062.0,0.12384259259259259,0.44560185185185186,0.12384259259259259,0.07291666666666667,0.7673611111111112,0.2564102564102564
