frame,run,n_objects,foam_pct,detector,foam
0,run0,118,,cellpose,A
1,run0,118,,cellpose,A
2,run0,117,,cellpose,A
3,run0,115,,cellpose,A
4,run0,111,,cellpose,A
5,run0,112,,cellpose,A
6,run0,112,,cellpose,A
7,run0,112,,cellpose,A
8,run0,108,,cellpose,A
9,run0,106,,cellpose,A
10,run0,105,,cellpose,A
11,run0,104,,cellpose,A
12,run0,104,,cellpose,A
13,run0,103,,cellpose,A
14,run0,102,,cellpose,A
15,run0,98,,cellpose,A
16,run0,98,,cellpose,A
17,run0,98,,cellpose,A
18,run0,97,,cellpose,A
19,run0,96,,cellpose,A
20,run0,96,,cellpose,A
21,run0,96,,cellpose,A
22,run0,94,,cellpose,A
23,run0,94,,cellpose,A
24,run0,93,,cellpose,A
25,run0,92,,cellpose,A
26,run0,92,,cellpose,A
27,run0,92,,cellpose,A
28,run0,91,,cellpose,A
29,run0,89,,cellpose,A
30,run0,87,,cellpose,A
31,run0,87,,cellpose,A
32,run0,88,,cellpose,A
33,run0,87,,cellpose,A
34,run0,87,,cellpose,A
35,run0,86,,cellpose,A
36,run0,85,,cellpose,A
37,run0,84,,cellpose,A
38,run0,84,,cellpose,A
39,run0,83,,cellpose,A
40,run0,82,,cellpose,A
41,run0,80,,cellpose,A
42,run0,78,,cellpose,A
43,run0,78,,cellpose,A
44,run0,78,,cellpose,A
45,run0,77,,cellpose,A
46,run0,78,,cellpose,A
47,run0,77,,cellpose,A
48,run0,76,,cellpose,A
49,run0,76,,cellpose,A
50,run0,76,,cellpose,A
51,run0,75,,cellpose,A
52,run0,74,,cellpose,A
53,run0,74,,cellpose,A
54,run0,74,25.4,cellpose,A
55,run0,74,25.4,cellpose,A
56,run0,73,25.3,cellpose,A
57,run0,73,25.3,cellpose,A
58,run0,73,25.3,cellpose,A
59,run0,72,25.2,cellpose,A
60,run0,72,25.1,cellpose,A
61,run0,72,25.1,cellpose,A
62,run0,71,25.1,cellpose,A
63,run0,70,25.0,cellpose,A
64,run0,70,24.9,cellpose,A
65,run0,70,24.9,cellpose,A
66,run0,70,24.8,cellpose,A
67,run0,70,24.8,cellpose,A
