frame,n_raw,n_objects,foam_pct,detector,foam
0,555,555,53.9,cellpose,C
1,551,551,53.8,cellpose,C
2,537,537,53.6,cellpose,C
3,521,521,53.6,cellpose,C
4,495,495,53.4,cellpose,C
5,478,478,53.3,cellpose,C
6,483,483,53.1,cellpose,C
7,474,474,53.1,cellpose,C
8,466,466,52.9,cellpose,C
9,468,468,52.8,cellpose,C
10,448,448,52.7,cellpose,C
11,455,455,52.6,cellpose,C
12,445,445,52.5,cellpose,C
13,444,444,52.4,cellpose,C
14,447,447,52.3,cellpose,C
15,438,438,52.2,cellpose,C
16,432,432,52.1,cellpose,C
17,427,427,52.0,cellpose,C
18,421,421,51.9,cellpose,C
19,420,420,51.9,cellpose,C
20,404,404,51.7,cellpose,C
21,401,401,51.6,cellpose,C
22,388,388,51.6,cellpose,C
23,388,388,51.5,cellpose,C
24,383,383,51.4,cellpose,C
25,376,376,51.4,cellpose,C
26,370,370,51.3,cellpose,C
27,360,360,51.2,cellpose,C
28,362,362,51.2,cellpose,C
29,354,354,51.1,cellpose,C
30,355,355,51.0,cellpose,C
31,351,351,51.0,cellpose,C
32,349,349,50.9,cellpose,C
33,343,343,50.9,cellpose,C
34,340,340,50.8,cellpose,C
35,339,339,50.7,cellpose,C
36,335,335,50.6,cellpose,C
37,336,336,50.6,cellpose,C
38,338,338,50.5,cellpose,C
39,337,337,50.4,cellpose,C
40,334,334,50.3,cellpose,C
41,326,326,50.3,cellpose,C
42,323,323,50.2,cellpose,C
43,322,322,50.2,cellpose,C
44,321,321,50.1,cellpose,C
45,318,318,50.1,cellpose,C
46,312,312,50.0,cellpose,C
47,315,315,50.0,cellpose,C
48,310,310,49.9,cellpose,C
49,311,311,49.8,cellpose,C
50,311,311,49.8,cellpose,C
51,314,314,49.7,cellpose,C
52,311,311,49.6,cellpose,C
53,304,304,49.5,cellpose,C
54,301,301,49.5,cellpose,C
55,302,302,49.4,cellpose,C
56,301,301,49.4,cellpose,C
57,297,297,49.3,cellpose,C
58,295,295,49.2,cellpose,C
59,292,292,49.2,cellpose,C
60,290,290,49.1,cellpose,C
61,293,293,49.0,cellpose,C
62,288,288,49.0,cellpose,C
63,280,280,49.0,cellpose,C
64,272,272,48.9,cellpose,C
65,270,270,48.8,cellpose,C
66,268,268,48.8,cellpose,C
67,265,265,48.7,cellpose,C
68,259,259,48.6,cellpose,C
69,262,262,48.6,cellpose,C
70,252,252,48.5,cellpose,C
71,257,257,48.5,cellpose,C
72,252,252,48.4,cellpose,C
73,251,251,48.4,cellpose,C
74,250,250,48.3,cellpose,C
75,250,250,48.3,cellpose,C
76,247,247,48.2,cellpose,C
77,247,247,48.2,cellpose,C
78,245,245,48.1,cellpose,C
79,242,242,48.0,cellpose,C
80,242,242,48.0,cellpose,C
81,240,240,47.9,cellpose,C
82,241,241,47.9,cellpose,C
83,237,237,47.8,cellpose,C
84,237,237,47.8,cellpose,C
85,237,237,47.7,cellpose,C
86,234,234,47.6,cellpose,C
87,234,234,47.6,cellpose,C
88,234,234,47.5,cellpose,C
89,231,231,47.4,cellpose,C
90,230,230,47.4,cellpose,C
91,231,231,47.3,cellpose,C
92,229,229,47.3,cellpose,C
93,226,226,47.2,cellpose,C
94,226,226,47.2,cellpose,C
95,222,222,47.2,cellpose,C
96,219,219,47.1,cellpose,C
97,222,222,47.0,cellpose,C
98,221,221,47.0,cellpose,C
