frame_index,n_bubbles,detector,foam
0,574,watershed,C
1,564,watershed,C
2,547,watershed,C
3,578,watershed,C
4,578,watershed,C
5,568,watershed,C
6,581,watershed,C
7,592,watershed,C
8,609,watershed,C
9,605,watershed,C
10,603,watershed,C
11,616,watershed,C
12,630,watershed,C
13,649,watershed,C
14,650,watershed,C
15,614,watershed,C
16,650,watershed,C
17,664,watershed,C
18,688,watershed,C
19,684,watershed,C
20,717,watershed,C
21,723,watershed,C
22,699,watershed,C
23,728,watershed,C
24,689,watershed,C
25,771,watershed,C
26,708,watershed,C
27,711,watershed,C
28,756,watershed,C
29,759,watershed,C
30,750,watershed,C
31,753,watershed,C
32,780,watershed,C
33,829,watershed,C
34,817,watershed,C
35,956,watershed,C
36,1004,watershed,C
37,925,watershed,C
38,1017,watershed,C
39,1001,watershed,C
40,1041,watershed,C
41,1026,watershed,C
42,1042,watershed,C
43,995,watershed,C
44,947,watershed,C
45,983,watershed,C
46,1019,watershed,C
47,1063,watershed,C
48,1146,watershed,C
49,1178,watershed,C
50,1242,watershed,C
51,1151,watershed,C
52,1210,watershed,C
53,1152,watershed,C
54,1172,watershed,C
55,1130,watershed,C
56,1225,watershed,C
57,1174,watershed,C
58,1234,watershed,C
59,1282,watershed,C
60,1325,watershed,C
61,1301,watershed,C
62,1304,watershed,C
63,1261,watershed,C
64,1219,watershed,C
65,1263,watershed,C
66,1255,watershed,C
67,1255,watershed,C
68,1231,watershed,C
69,1227,watershed,C
70,1147,watershed,C
71,1186,watershed,C
72,1083,watershed,C
73,1180,watershed,C
74,1201,watershed,C
75,1177,watershed,C
76,1165,watershed,C
77,1088,watershed,C
78,1209,watershed,C
79,1202,watershed,C
80,1237,watershed,C
81,1181,watershed,C
82,1109,watershed,C
83,1175,watershed,C
84,1155,watershed,C
85,1128,watershed,C
86,1225,watershed,C
87,1191,watershed,C
88,1193,watershed,C
89,1114,watershed,C
90,1202,watershed,C
91,1246,watershed,C
92,1183,watershed,C
93,1224,watershed,C
94,1259,watershed,C
95,1230,watershed,C
96,1278,watershed,C
97,1234,watershed,C
98,1256,watershed,C
