frame,n_objects,detector,foam
0,62,cellpose,F
1,65,cellpose,F
2,60,cellpose,F
3,61,cellpose,F
4,62,cellpose,F
5,63,cellpose,F
6,62,cellpose,F
7,62,cellpose,F
8,64,cellpose,F
9,69,cellpose,F
10,65,cellpose,F
11,66,cellpose,F
12,64,cellpose,F
13,65,cellpose,F
14,62,cellpose,F
15,60,cellpose,F
16,66,cellpose,F
17,68,cellpose,F
18,66,cellpose,F
19,66,cellpose,F
20,65,cellpose,F
21,64,cellpose,F
22,64,cellpose,F
23,63,cellpose,F
24,65,cellpose,F
25,63,cellpose,F
26,61,cellpose,F
27,58,cellpose,F
28,61,cellpose,F
29,61,cellpose,F
30,61,cellpose,F
31,61,cellpose,F
32,62,cellpose,F
33,62,cellpose,F
34,61,cellpose,F
35,62,cellpose,F
36,62,cellpose,F
37,63,cellpose,F
38,63,cellpose,F
39,62,cellpose,F
40,61,cellpose,F
41,63,cellpose,F
42,63,cellpose,F
43,59,cellpose,F
44,62,cellpose,F
45,57,cellpose,F
46,58,cellpose,F
47,57,cellpose,F
48,58,cellpose,F
49,58,cellpose,F
50,58,cellpose,F
51,59,cellpose,F
52,59,cellpose,F
53,61,cellpose,F
54,59,cellpose,F
55,59,cellpose,F
56,57,cellpose,F
57,58,cellpose,F
58,53,cellpose,F
59,53,cellpose,F
60,54,cellpose,F
61,54,cellpose,F
62,53,cellpose,F
63,54,cellpose,F
64,54,cellpose,F
65,52,cellpose,F
66,52,cellpose,F
67,50,cellpose,F
68,50,cellpose,F
69,50,cellpose,F
70,50,cellpose,F
71,51,cellpose,F
72,50,cellpose,F
73,50,cellpose,F
74,50,cellpose,F
75,50,cellpose,F
76,50,cellpose,F
77,49,cellpose,F
78,50,cellpose,F
79,51,cellpose,F
80,48,cellpose,F
81,52,cellpose,F
82,49,cellpose,F
83,51,cellpose,F
84,50,cellpose,F
85,51,cellpose,F
86,50,cellpose,F
87,49,cellpose,F
88,51,cellpose,F
89,48,cellpose,F
90,48,cellpose,F
91,47,cellpose,F
92,47,cellpose,F
93,47,cellpose,F
94,47,cellpose,F
95,46,cellpose,F
96,46,cellpose,F
97,45,cellpose,F
98,46,cellpose,F
99,43,cellpose,F
100,43,cellpose,F
101,41,cellpose,F
102,41,cellpose,F
103,39,cellpose,F
104,40,cellpose,F
105,40,cellpose,F
106,39,cellpose,F
107,38,cellpose,F
108,41,cellpose,F
109,39,cellpose,F
110,39,cellpose,F
111,39,cellpose,F
112,40,cellpose,F
113,38,cellpose,F
114,39,cellpose,F
115,37,cellpose,F
116,39,cellpose,F
117,37,cellpose,F
118,38,cellpose,F
119,37,cellpose,F
120,37,cellpose,F
121,37,cellpose,F
122,38,cellpose,F
123,36,cellpose,F
124,36,cellpose,F
125,37,cellpose,F
126,37,cellpose,F
127,38,cellpose,F
128,37,cellpose,F
129,38,cellpose,F
130,37,cellpose,F
131,38,cellpose,F
132,38,cellpose,F
133,39,cellpose,F
134,38,cellpose,F
135,37,cellpose,F
136,36,cellpose,F
137,35,cellpose,F
138,35,cellpose,F
139,37,cellpose,F
140,36,cellpose,F
141,37,cellpose,F
142,36,cellpose,F
143,37,cellpose,F
144,36,cellpose,F
145,37,cellpose,F
146,35,cellpose,F
147,36,cellpose,F
148,36,cellpose,F
149,36,cellpose,F
150,36,cellpose,F
151,35,cellpose,F
152,39,cellpose,F
153,37,cellpose,F
154,38,cellpose,F
155,37,cellpose,F
156,36,cellpose,F
157,36,cellpose,F
158,34,cellpose,F
159,35,cellpose,F
160,35,cellpose,F
161,34,cellpose,F
162,34,cellpose,F
163,33,cellpose,F
164,34,cellpose,F
165,33,cellpose,F
166,32,cellpose,F
167,32,cellpose,F
168,32,cellpose,F
169,31,cellpose,F
170,33,cellpose,F
171,30,cellpose,F
172,31,cellpose,F
173,30,cellpose,F
174,32,cellpose,F
175,30,cellpose,F
176,31,cellpose,F
177,30,cellpose,F
178,27,cellpose,F
179,28,cellpose,F
180,28,cellpose,F
181,30,cellpose,F
182,28,cellpose,F
183,30,cellpose,F
184,30,cellpose,F
185,28,cellpose,F
186,27,cellpose,F
187,28,cellpose,F
188,29,cellpose,F
189,27,cellpose,F
190,29,cellpose,F
191,27,cellpose,F
192,27,cellpose,F
193,26,cellpose,F
194,25,cellpose,F
195,25,cellpose,F
196,26,cellpose,F
197,23,cellpose,F
198,24,cellpose,F
199,23,cellpose,F
200,22,cellpose,F
201,22,cellpose,F
202,22,cellpose,F
203,24,cellpose,F
204,21,cellpose,F
205,21,cellpose,F
206,21,cellpose,F
207,19,cellpose,F
208,19,cellpose,F
209,19,cellpose,F
210,19,cellpose,F
211,19,cellpose,F
212,20,cellpose,F
213,18,cellpose,F
214,19,cellpose,F
215,20,cellpose,F
216,18,cellpose,F
217,18,cellpose,F
218,18,cellpose,F
219,19,cellpose,F
220,18,cellpose,F
221,17,cellpose,F
222,19,cellpose,F
223,17,cellpose,F
224,16,cellpose,F
225,20,cellpose,F
226,18,cellpose,F
227,17,cellpose,F
228,17,cellpose,F
229,17,cellpose,F
230,17,cellpose,F
231,16,cellpose,F
232,17,cellpose,F
233,17,cellpose,F
234,16,cellpose,F
235,17,cellpose,F
236,17,cellpose,F
237,17,cellpose,F
238,18,cellpose,F
239,17,cellpose,F
240,16,cellpose,F
241,19,cellpose,F
242,18,cellpose,F
243,17,cellpose,F
244,18,cellpose,F
245,18,cellpose,F
246,18,cellpose,F
