measure,foam,median,ci_lo,ci_hi
mask_outside_hull_frac,A,0.11390247579943943,0.09964254810533701,0.12196037825352624
mask_outside_hull_frac,C,0.08148256891108513,0.07833750355359378,0.08464401591080714
mask_outside_hull_frac,F,0.25331730097345273,0.23507845817558756,0.2629340921489865
unlab_frac_published,A,0.19485341347084173,0.186389667181238,0.20146367286654152
unlab_frac_published,C,0.17913016212065663,0.177018737383845,0.18132993195015448
unlab_frac_published,F,0.47398817919848046,0.4549417880559431,0.4987939356285943
unlab_frac_core1,A,0.07021451497510961,0.06390620304703204,0.07296999676312542
unlab_frac_core1,C,0.09014749778796693,0.08813540719769086,0.10190649195546851
unlab_frac_core1,F,0.2689801205824882,0.2361878148706476,0.3084043560015209
film_hw_norm_published,A,0.2249031457281719,0.2012111749365576,0.2628546496625521
film_hw_norm_published,C,0.18923553933961226,0.18012522790868518,0.19313896824932192
film_hw_norm_published,F,0.6676159557331653,0.5647254715300962,0.768821662523612
film_hw_norm_core1,A,0.06618780819934589,0.06518426658278137,0.0736935254049717
film_hw_norm_core1,C,0.07492497139033374,0.06856513798811759,0.07964432644140637
film_hw_norm_core1,F,0.30297729534019535,0.23634898763578593,0.4488112397940399
dark_frac_published,A,0.22612246256582302,0.21539562200038523,0.23750249365342924
dark_frac_published,C,0.2528201038110963,0.239427459373324,0.27263166132589955
dark_frac_published,F,0.3230850116446324,0.2996096377846432,0.35916457836259585
dark_frac_core1,A,0.22128094433887008,0.21165257047186886,0.22891520449724154
dark_frac_core1,C,0.25298745034316705,0.23912482194881576,0.27260779516242895
dark_frac_core1,F,0.32675862275393996,0.30203117778560307,0.37522678679469185
junction_med_norm_local,A,0.1335674590677275,0.12937302941370804,0.13724067455047662
junction_med_norm_local,C,0.1416236776522722,0.1389500361830458,0.15222962282422497
junction_med_norm_local,F,0.18694890714169599,0.17477568934909388,0.20248507421028428
junction_p95_norm_local,A,0.1883042719348761,0.1731315994494831,0.20757572004877062
junction_p95_norm_local,C,0.2622822475821526,0.251770263145205,0.27621535759998206
junction_p95_norm_local,F,0.38157079892220747,0.2857822774342398,0.6580825781536724
junction_med_px,A,4.47213595499958,4.47213595499958,4.47213595499958
junction_med_px,C,3.605551275463989,3.605551275463989,4.0
junction_med_px,F,9.219544457292887,9.027675806575061,10.134460118176946
invalid_med_norm_local,A,0.22886163913865987,0.18151737004873164,0.28519036190727587
invalid_med_norm_local,C,0.29923128402335264,0.25917127239066384,0.3411134945173837
invalid_med_norm_local,F,1.9166984244952219,1.390527516974156,2.079085300984347
n_junction_valid,A,123.5,110.0,140.0
n_junction_valid,C,505.0,418.5,608.0
n_junction_valid,F,48.5,39.5,73.0
n_vertex,A,123.5,111.5,140.5
n_vertex,C,513.0,422.0,611.0
n_vertex,F,51.5,44.5,73.5
