frame,n_gt,n_pred,precision,recall,f1,d_f1,d_p,d_r,colab_f1
0,124,118,1.0,0.9516129032258065,0.9752066115702479,6.611570247949672e-06,0.0,1.2903225806493168e-05,0.9752
1,122,118,0.9830508474576272,0.9508196721311475,0.9666666666666667,-3.333333333332966e-05,-4.915254237281008e-05,1.9672131147507876e-05,0.9667
24,99,93,0.978494623655914,0.9191919191919192,0.9479166666666667,1.6666666666775853e-05,-5.37634408603882e-06,-8.08080808079037e-06,0.9479
25,98,92,0.9891304347826086,0.9285714285714286,0.9578947368421052,-5.263157894730419e-06,3.0434782608668165e-05,-2.8571428571377844e-05,0.9579
49,84,76,0.9736842105263158,0.8809523809523809,0.925,0.0,-1.5789473684191258e-05,-4.7619047619074095e-05,0.925
50,80,76,0.9605263157894737,0.9125,0.935897435897436,-2.5641025639400183e-06,2.6315789473652096e-05,0.0,0.9359
73,70,69,1.0,0.9857142857142858,0.9928057553956835,5.755395683482156e-06,0.0,1.4285714285744433e-05,0.9928
74,70,69,1.0,0.9857142857142858,0.9928057553956835,5.755395683482156e-06,0.0,1.4285714285744433e-05,0.9928
97,63,61,1.0,0.9682539682539683,0.9838709677419354,-2.903225806460963e-05,0.0,-4.603174603179383e-05,0.9839
98,63,61,0.9836065573770492,0.9523809523809523,0.9677419354838709,4.193548387088075e-05,6.557377049132285e-06,-1.904761904769625e-05,0.9677
120,52,51,1.0,0.9807692307692307,0.9902912621359222,-8.737864077734692e-06,0.0,-3.076923076927862e-05,0.9903
121,52,50,1.0,0.9615384615384616,0.9803921568627451,-7.843137254992527e-06,0.0,3.8461538461542766e-05,0.9804
148,46,42,1.0,0.9130434782608695,0.9545454545454545,4.5454545454459705e-05,0.0,4.347826086947837e-05,0.9545
149,43,42,1.0,0.9767441860465116,0.988235294117647,3.529411764702228e-05,0.0,4.4186046511573984e-05,0.9882
