scope,detector,n_sides,n,median_dadt,p25,p75
matched,GT,2,8,-1.7503500700140027,-2.1667233390005665,-1.1749983728796072
matched,GT,3,46,-0.9168050231708509,-1.2919250516770022,-0.7330889703432188
matched,GT,4,89,-0.7,-1.0334366770010337,-0.3665444851716094
matched,GT,5,87,-0.433030212184804,-0.6001200240048009,-0.1166494523494335
matched,GT,6,83,-0.0333222259246917,-0.31668166816681664,0.199860097931448
matched,GT,7,45,0.433188937020993,0.233170114253356,0.8000800080008
matched,GT,8,28,1.0163278907030988,0.6246413949966225,1.400242544758577
matched,GT,9,8,1.3501433620057344,0.783370091292833,1.8957855909356076
matched,GT,10,9,1.465640718163952,0.532960261150528,2.732422525824725
matched,CP,2,8,-1.5168233646729345,-1.9419467226778688,-1.3999992135168198
matched,CP,3,55,-0.9001800360072014,-1.2163703184659451,-0.5333600026669334
matched,CP,4,95,-0.5334400213376008,-0.9997502648326209,0.0
matched,CP,5,87,-0.299790146897172,-0.6831701772218806,0.1000200040008001
matched,CP,6,77,0.0664650559968096,-0.3332222592469177,0.4667133380004667
matched,CP,7,43,0.7,0.06663834704799165,1.3144339654995862
matched,CP,8,24,1.2980568486389004,0.6162780355650411,2.2567367567237597
matched,CP,9,9,2.000400080016003,1.1996001332889037,3.633333333333333
matched,CP,10,8,2.4158622297724923,2.064789509807588,2.6587942517663117
