n_obj,mean_n_all,mean_n_interior_mask,mean_n_interior_raft,mean_n_edge_raft,n_interior_mask,n_interior_raft,unassigned_mask_pct,unassigned_raftcore_pct,frame,source,mask_outside_gt_hull_pct
124,5.338709677419355,5.769230769230769,5.827586206896552,4.1891891891891895,91,87,23.103753783548864,13.353947654349135,0,GT,9.497231685946579
118,5.3559322033898304,5.813953488372093,5.869047619047619,4.088235294117647,86,84,21.34494506692305,12.008079483882,0,Cellpose,9.497231685946579
116,5.672413793103448,5.592592592592593,5.632911392405063,5.756756756756757,81,79,13.668009133619712,13.477918571057065,0,watershed,9.497231685946579
145,5.6,5.585858585858586,5.791208791208791,5.277777777777778,99,91,0.003633324855575337,0.0024936678648147027,0,watershed (per-frame),9.497231685946579
122,5.360655737704918,5.820224719101123,5.862068965517241,4.114285714285714,89,87,22.675872857773914,13.227958754058585,1,GT,9.032027528537224
118,5.372881355932203,5.816091954022989,5.858823529411764,4.121212121212121,87,85,19.812724914395368,10.710386413101652,1,Cellpose,9.032027528537224
113,5.699115044247788,5.592592592592593,5.6075949367088604,5.911764705882353,81,79,13.77777402627366,13.397081385806544,1,watershed,9.032027528537224
129,5.674418604651163,5.568181818181818,5.694117647058824,5.636363636363637,88,85,0.0008440884267035814,0.0010703964034680844,1,watershed (per-frame),9.032027528537224
99,5.191919191919192,5.594202898550725,5.681818181818182,4.212121212121212,69,66,24.679327196536153,14.359842462645881,24,GT,10.367743508189491
93,5.247311827956989,5.777777777777778,5.770491803278689,4.25,63,61,17.870906705979316,7.2679926950249145,24,Cellpose,10.367743508189491
90,5.711111111111111,5.661016949152542,5.706896551724138,5.71875,59,58,13.694905220146957,13.640401544872601,24,watershed,10.367743508189491
111,5.603603603603603,5.636363636363637,5.636363636363637,5.555555555555555,66,66,0.006674637538161514,0.007625234952551976,24,watershed (per-frame),10.367743508189491
98,5.183673469387755,5.594202898550725,5.703125,4.205882352941177,69,64,24.08247087289807,13.572039855736904,25,GT,10.457580889251657
92,5.217391304347826,5.714285714285714,5.766666666666667,4.1875,63,60,17.89483162777728,7.181826517513295,25,Cellpose,10.457580889251657
93,5.741935483870968,5.682539682539683,5.716666666666667,5.787878787878788,63,60,13.257152152253921,13.034491717097621,25,watershed,10.457580889251657
115,5.7043478260869565,5.885714285714286,5.779411764705882,5.595744680851064,70,68,0.004066611089648441,0.0026743688489516476,25,watershed (per-frame),10.457580889251657
84,5.190476190476191,5.559322033898305,5.830188679245283,4.096774193548387,59,53,24.940399725151615,12.954914279287241,49,GT,11.450422728766469
76,5.2368421052631575,5.754716981132075,5.8431372549019605,4.0,53,51,19.221760822155172,7.0255635715089095,49,Cellpose,11.450422728766469
77,5.740259740259741,5.596153846153846,5.673469387755102,5.857142857142857,52,49,12.525318913751383,12.82155309542555,49,watershed,11.450422728766469
94,5.723404255319149,5.7368421052631575,5.886792452830188,5.512195121951219,57,53,0.010754936814746215,0.007632115943891897,49,watershed (per-frame),11.450422728766469
80,5.225,5.745454545454545,5.884615384615385,4.0,55,52,25.234434728593275,13.123913992308388,50,GT,12.20374617737003
76,5.2631578947368425,5.7924528301886795,5.882352941176471,4.0,53,51,19.1474937882263,6.830628093320487,50,Cellpose,12.20374617737003
